City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-37.29,100,89,0.55,RU,1703210143
1,bethel,41.3712,-73.414,-1.4,53,0,2.57,US,1703209918
2,sant antoni de portmany,38.9807,1.3036,15.54,81,0,2.57,ES,1703210144
3,edinburgh of the seven seas,-37.0676,-12.3116,14.26,74,12,7.04,SH,1703210144
4,grytviken,-54.2811,-36.5092,3.99,88,58,5.23,GS,1703210145
5,atafu village,-8.5421,-172.5159,29.26,74,99,4.71,TK,1703210145
6,mosjoen,65.836,13.1908,-5.71,93,100,0.0,NO,1703210146
7,zhezqazghan,47.7833,67.7667,-7.68,93,100,0.0,KZ,1703210147
8,port-aux-francais,-49.35,70.2167,7.1,97,100,10.6,TF,1703210147
9,butembo,0.15,29.2833,15.26,91,100,1.05,CD,1703210148
10,albany,42.6001,-73.9662,-5.81,71,6,1.34,US,1703210148
11,martuk,50.7475,56.5056,0.52,86,100,8.12,KZ,1703210149
12,yeniseysk,58.4497,92.1703,-9.45,96,93,2.4,RU,1703210149
13,ancud,-41.8697,-73.8203,11.97,88,44,2.0,CL,1703210150
14,waitangi,-43.9535,-176.5597,15.46,72,16,4.57,NZ,1703210151
15,qaqortoq,60.7167,-46.0333,-10.8,83,100,1.66,GL,1703210151
16,ribeira grande,38.5167,-28.7,17.65,82,92,5.36,PT,1703210152
17,kapuskasing,49.4169,-82.4331,-8.95,79,100,5.14,CA,1703210102
18,iqaluit,63.7506,-68.5145,-18.15,71,75,1.54,CA,1703210153
19,hawaiian paradise park,19.5933,-154.9731,23.26,87,75,0.89,US,1703210154
20,geraldton,-28.7667,114.6,24.23,69,100,7.2,AU,1703210155
21,namibe,-15.1961,12.1522,23.12,81,100,3.29,AO,1703210155
22,horta,38.5333,-28.6333,17.23,82,81,5.36,PT,1703210156
23,whitehorse,60.7161,-135.0538,-3.57,74,40,4.63,CA,1703210156
24,west island,-12.1568,96.8225,23.99,94,100,5.14,CC,1703210157
25,longyearbyen,78.2186,15.6401,-14.09,61,0,4.63,SJ,1703210157
26,bridgewater,44.3835,-64.5155,-2.18,64,44,12.86,CA,1703210128
27,ilulissat,69.2167,-51.1,-11.99,56,75,7.2,GL,1703210159
28,cidreira,-30.1811,-50.2056,22.75,94,9,6.16,BR,1703210159
29,selfoss,63.9331,-20.9971,-8.5,61,52,3.45,IS,1703210160
30,kappeln,54.6612,9.9313,5.09,68,25,14.48,DE,1703210160
31,kyshtovka,56.555,76.6271,-0.37,95,100,5.36,RU,1703210161
32,polczyn-zdroj,53.7642,16.0957,2.38,73,100,14.33,PL,1703210162
33,lebu,-37.6167,-73.65,12.78,91,8,7.62,CL,1703210162
34,ushuaia,-54.8,-68.3,9.81,57,0,2.57,AR,1703210163
35,keflavik,64.0049,-22.5624,-5.76,79,75,4.63,IS,1703210163
36,mejit,10.2753,170.8646,27.15,81,100,9.65,MH,1703210164
37,kralendijk,12.15,-68.2667,26.99,74,22,5.14,BQ,1703209884
38,invercargill,-46.4,168.35,17.79,75,100,2.24,NZ,1703210166
39,blackmans bay,-43.0167,147.3167,19.18,60,89,1.79,AU,1703210166
40,kharp,66.8014,65.8081,-11.48,93,62,2.89,RU,1703210167
41,krasnyy chikoy,50.3643,108.7512,-25.7,94,46,0.6,RU,1703210167
42,zemio,5.0314,25.1361,22.77,42,46,0.22,CF,1703210168
43,camacupa,-12.0167,17.4833,16.26,98,99,0.96,AO,1703210170
44,bredasdorp,-34.5322,20.0403,17.67,86,0,4.75,ZA,1703210170
45,wuzhen,30.7454,120.4851,0.0,39,7,4.78,CN,1703210171
46,guarapari,-20.6667,-40.4975,24.36,88,100,4.24,BR,1703210171
47,papatowai,-46.5619,169.4708,13.94,88,100,4.0,NZ,1703210173
48,pangai,-19.8,-174.35,30.06,58,40,8.23,TO,1703210173
49,dudinka,69.4058,86.1778,-11.29,91,100,12.52,RU,1703210174
50,chaihe,44.7667,129.7,-19.53,75,72,4.82,CN,1703210174
51,talnakh,69.4865,88.3972,-12.06,89,100,10.08,RU,1703210175
52,adamstown,-25.066,-130.1015,21.83,86,100,7.1,PN,1703210176
53,georgetown,5.4112,100.3354,28.96,75,20,3.6,MY,1703210036
54,kone,-21.0595,164.8658,32.84,51,61,1.86,NC,1703210177
55,iskateley,67.6803,53.1512,-11.1,98,100,3.13,RU,1703210178
56,fortuna,40.5982,-124.1573,11.63,96,100,0.0,US,1703210178
57,mount isa,-20.7333,139.5,35.87,23,0,4.12,AU,1703210179
58,bikenibeu village,1.3673,173.1241,24.98,88,100,4.63,KI,1703210180
59,utrik,11.2278,169.8474,27.04,80,88,9.58,MH,1703210180
60,gizo,-8.103,156.8419,28.16,75,75,1.82,SB,1703210181
61,rawai,7.7797,98.3253,28.06,78,44,5.5,TH,1703210181
62,chibougamau,49.9168,-74.3659,-14.21,85,100,1.54,CA,1703210182
63,lorengau,-2.0226,147.2712,29.05,71,81,3.5,PG,1703210183
64,crane,31.3974,-102.3501,15.52,57,0,2.32,US,1703210183
65,rikaze,29.25,88.8833,0.09,20,43,0.4,CN,1703210184
66,puerto ayora,-0.7393,-90.3518,23.99,87,92,4.31,EC,1703210056
67,aasiaat,68.7098,-52.8699,-18.23,89,100,2.75,GL,1703210185
68,kodiak,57.79,-152.4072,-2.27,69,0,2.06,US,1703210186
69,thompson,55.7435,-97.8558,-3.91,86,100,4.12,CA,1703210186
70,mandalgovi,45.7625,106.2708,-20.62,78,100,1.85,MN,1703210187
